GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2020-02-12,1610612739,1610612737,2019,127.0,105.0,232.0,107.0,117.0,115.4,121.2,53,13,40,0.245,55,15,40,0.273,6,7,9,6,217.88,217.96,217.92000000000002
2020-02-12,1610612753,1610612765,2019,116.0,112.0,228.0,104.15,106.4,107.55,109.6,54,23,31,0.426,56,19,37,0.339,14,9,11,8,206.0,219.44,212.72
2020-02-12,1610612751,1610612761,2019,101.0,91.0,192.0,111.35,111.3,118.55,108.7,52,24,28,0.462,54,40,14,0.741,15,9,21,19,209.6,220.4,215.0
2020-02-12,1610612754,1610612749,2019,118.0,111.0,229.0,110.45,111.1,119.45,107.25,54,31,23,0.574,53,46,7,0.868,18,13,25,21,207.16,221.2,214.18
2020-02-12,1610612752,1610612764,2019,96.0,114.0,210.0,107.3,111.75,114.05,119.9,54,17,37,0.315,52,19,33,0.365,8,9,13,6,211.88,216.08,213.98000000000002
2020-02-12,1610612763,1610612757,2019,111.0,104.0,215.0,116.6,111.4,116.0,118.55,53,27,26,0.509,55,25,30,0.455,15,12,15,10,214.08,228.96,221.52
2020-02-12,1610612750,1610612766,2019,108.0,115.0,223.0,113.15,117.15,100.3,109.1,52,16,36,0.308,53,17,36,0.321,7,9,8,9,223.44,205.2,214.32
2020-02-12,1610612742,1610612758,2019,130.0,111.0,241.0,114.65,112.3,112.5,114.3,54,32,22,0.593,53,21,32,0.396,14,18,11,10,221.32,214.44,217.88
2020-02-12,1610612756,1610612744,2019,112.0,106.0,218.0,109.7,111.5,107.75,118.5,54,21,33,0.389,54,12,42,0.222,10,11,7,5,218.8,216.76,217.78
2020-02-12,1610612762,1610612748,2019,116.0,101.0,217.0,117.1,109.9,112.7,108.8,53,35,18,0.66,53,35,18,0.66,19,16,22,13,207.48,214.12,210.8
2020-02-12,1610612743,1610612747,2019,116.0,120.0,236.0,113.35,109.2,118.95,110.9,54,38,16,0.7040000000000001,52,40,12,0.769,21,17,18,22,218.04,224.56,221.3
2020-02-11,1610612755,1610612746,2019,110.0,103.0,213.0,108.35,108.05,116.55,111.1,54,33,21,0.611,53,37,16,0.698,24,9,22,15,212.44,225.12,218.78
2020-02-11,1610612764,1610612741,2019,126.0,114.0,240.0,114.15,119.9,106.4,113.15,51,18,33,0.353,54,19,35,0.35200000000000004,12,6,11,8,214.28,202.24,208.26
2020-02-11,1610612740,1610612757,2019,138.0,117.0,255.0,121.05,118.25,116.25,116.8,53,22,31,0.415,54,25,29,0.463,10,12,15,10,223.2,228.96,226.07999999999998
2020-02-11,1610612760,1610612759,2019,106.0,114.0,220.0,114.15,108.5,112.8,112.35,53,32,21,0.604,53,22,31,0.415,17,15,14,8,221.96,217.48,219.72
2020-02-11,1610612745,1610612738,2019,116.0,105.0,221.0,115.85,116.3,114.6,106.65,53,33,20,0.623,52,37,15,0.7120000000000001,18,15,22,15,226.24,218.08,222.16000000000003
2020-02-10,1610612765,1610612766,2019,76.0,87.0,163.0,108.7,110.65,101.15,111.15,55,19,36,0.345,52,16,36,0.308,11,8,8,8,221.56,205.2,213.38
2020-02-10,1610612754,1610612751,2019,105.0,106.0,211.0,110.95,110.65,111.3,111.95,53,31,22,0.585,51,23,28,0.451,18,13,15,8,206.16,209.6,207.88
2020-02-10,1610612753,1610612737,2019,135.0,126.0,261.0,102.05,105.15,114.15,119.1,53,22,31,0.415,54,15,39,0.278,13,9,9,6,204.84,217.96,211.4
2020-02-10,1610612761,1610612750,2019,137.0,126.0,263.0,116.55,107.3,112.05,115.95,53,39,14,0.736,51,16,35,0.314,20,19,7,9,219.44,223.44,221.44
2020-02-10,1610612749,1610612758,2019,123.0,111.0,234.0,118.85,106.7,112.2,114.1,52,45,7,0.865,52,21,31,0.404,24,21,11,10,219.96,214.44,217.2
2020-02-10,1610612742,1610612762,2019,119.0,123.0,242.0,114.7,112.3,116.4,108.75,53,32,21,0.604,52,34,18,0.654,14,18,19,15,220.12,207.48,213.8
2020-02-10,1610612743,1610612759,2019,127.0,120.0,247.0,112.0,108.8,112.85,112.7,53,37,16,0.698,52,22,30,0.423,20,17,14,8,216.56,217.48,217.01999999999998
2020-02-10,1610612744,1610612748,2019,101.0,113.0,214.0,107.95,117.65,111.3,109.0,53,12,41,0.226,52,34,18,0.654,7,5,22,12,215.92,214.12,215.01999999999998
2020-02-10,1610612747,1610612756,2019,125.0,100.0,225.0,118.1,110.65,110.05,111.1,51,39,12,0.765,53,21,32,0.396,17,22,10,11,225.0,218.8,221.9
2020-02-09,1610612760,1610612738,2019,111.0,112.0,223.0,113.9,107.95,114.9,106.2,52,32,20,0.615,51,36,15,0.706,17,15,22,14,221.0,218.08,219.54000000000002
2020-02-09,1610612737,1610612752,2019,140.0,135.0,275.0,112.95,117.9,106.15,110.75,53,14,39,0.264,53,17,36,0.321,8,6,8,9,214.88,211.88,213.38
2020-02-09,1610612755,1610612741,2019,118.0,111.0,229.0,107.35,108.35,106.35,113.15,53,32,21,0.604,53,19,34,0.358,23,9,11,8,211.12,202.24,206.68
2020-02-09,1610612764,1610612763,2019,99.0,106.0,205.0,114.35,120.7,116.8,112.4,50,18,32,0.36,52,26,26,0.5,12,6,15,11,213.36,214.08,213.72000000000003
2020-02-09,1610612745,1610612762,2019,113.0,114.0,227.0,116.7,115.8,115.8,108.0,52,33,19,0.635,51,33,18,0.647,18,15,19,14,226.56,207.48,217.01999999999998
2020-02-09,1610612739,1610612746,2019,92.0,133.0,225.0,107.7,116.4,115.5,112.4,52,13,39,0.25,52,36,16,0.6920000000000001,6,7,22,14,216.76,225.12,220.94
2020-02-09,1610612757,1610612748,2019,115.0,109.0,224.0,116.5,117.75,111.1,109.4,53,24,29,0.453,51,34,17,0.667,14,10,22,12,229.44,214.12,221.78
2020-02-08,1610612753,1610612749,2019,95.0,111.0,206.0,102.2,104.45,118.75,108.0,52,22,30,0.423,51,44,7,0.863,13,9,24,20,204.2,219.96,212.07999999999998
2020-02-08,1610612766,1610612742,2019,100.0,116.0,216.0,101.65,110.45,113.65,112.7,51,16,35,0.314,52,31,21,0.596,8,8,14,17,204.48,220.12,212.3
2020-02-08,1610612765,1610612752,2019,92.0,95.0,187.0,109.7,111.65,106.75,111.15,54,19,35,0.35200000000000004,52,16,36,0.308,11,8,8,8,221.6,211.88,216.74
2020-02-08,1610612754,1610612740,2019,117.0,124.0,241.0,111.1,110.2,120.45,117.4,52,31,21,0.596,52,21,31,0.404,18,13,10,11,204.28,223.2,213.74
2020-02-08,1610612761,1610612751,2019,119.0,118.0,237.0,115.7,107.3,110.8,111.05,52,38,14,0.731,50,23,27,0.46,19,19,15,8,217.8,209.6,213.7
2020-02-08,1610612750,1610612746,2019,142.0,115.0,257.0,109.9,114.4,116.45,110.75,50,15,35,0.3,51,36,15,0.706,6,9,22,14,221.4,225.12,223.26
2020-02-08,1610612744,1610612747,2019,120.0,125.0,245.0,107.75,116.6,117.05,110.2,52,12,40,0.231,50,38,12,0.76,7,5,17,21,213.68,225.0,219.34
2020-02-08,1610612756,1610612743,2019,108.0,117.0,225.0,110.2,110.9,112.3,109.15,52,21,31,0.404,52,36,16,0.6920000000000001,10,11,20,16,219.76,216.56,218.16
2020-02-08,1610612758,1610612759,2019,122.0,102.0,224.0,112.5,115.15,114.2,112.3,51,20,31,0.392,51,22,29,0.431,10,10,14,8,214.6,217.48,216.04
2020-02-07,1610612755,1610612763,2019,119.0,107.0,226.0,106.6,108.4,116.95,111.3,52,31,21,0.596,51,26,25,0.51,22,9,15,11,211.08,214.08,212.58
2020-02-07,1610612764,1610612742,2019,119.0,118.0,237.0,113.45,120.9,114.8,112.8,49,17,32,0.34700000000000003,51,31,20,0.608,11,6,14,17,210.84,220.12,215.48000000000002
2020-02-07,1610612738,1610612737,2019,112.0,107.0,219.0,115.0,107.3,111.65,118.1,50,35,15,0.7,52,14,38,0.269,21,14,8,6,217.2,214.88,216.04
2020-02-07,1610612754,1610612761,2019,106.0,115.0,221.0,111.75,109.7,113.75,106.2,51,31,20,0.608,51,37,14,0.725,18,13,19,18,203.4,217.8,210.60000000000002
2020-02-07,1610612760,1610612765,2019,108.0,101.0,209.0,113.35,108.4,108.7,111.45,51,31,20,0.608,53,19,34,0.358,16,15,11,8,221.28,221.6,221.44
2020-02-07,1610612756,1610612745,2019,127.0,91.0,218.0,110.1,113.3,117.35,115.25,51,20,31,0.392,51,33,18,0.647,9,11,18,15,219.84,226.56,223.2
2020-02-07,1610612758,1610612748,2019,105.0,97.0,202.0,111.6,115.55,111.65,109.35,50,19,31,0.38,50,34,16,0.68,9,10,22,12,213.92,214.12,214.01999999999998
2020-02-07,1610612762,1610612757,2019,117.0,114.0,231.0,115.4,107.4,115.45,117.75,50,32,18,0.64,52,24,28,0.462,18,14,14,10,207.12,229.44,218.28
2020-02-06,1610612752,1610612753,2019,105.0,103.0,208.0,107.25,112.05,103.15,104.25,51,15,36,0.294,51,22,29,0.431,7,8,13,9,212.28,204.2,208.24
2020-02-06,1610612741,1610612740,2019,119.0,125.0,244.0,106.2,110.95,119.3,116.15,52,19,33,0.365,51,20,31,0.392,11,8,10,10,199.12,223.2,211.16
2020-02-06,1610612749,1610612755,2019,112.0,101.0,213.0,119.0,107.4,106.4,108.55,50,43,7,0.86,51,31,20,0.608,23,20,22,9,220.28,211.08,215.68
2020-02-06,1610612757,1610612759,2019,125.0,117.0,242.0,113.9,117.0,114.25,112.4,51,23,28,0.451,50,22,28,0.44,13,10,14,8,227.72,217.48,222.6
2020-02-06,1610612747,1610612745,2019,111.0,121.0,232.0,116.8,109.7,116.95,114.9,49,38,11,0.7759999999999999,50,32,18,0.64,17,21,18,14,226.0,226.56,226.28
2020-02-05,1610612765,1610612756,2019,116.0,108.0,224.0,109.5,111.15,110.8,113.3,52,18,34,0.34600000000000003,50,20,30,0.4,10,8,9,11,220.6,219.84,220.22
2020-02-05,1610612738,1610612753,2019,116.0,100.0,216.0,114.65,107.6,103.15,104.0,49,34,15,0.6940000000000001,50,22,28,0.44,20,14,13,9,215.24,204.2,209.72
2020-02-05,1610612751,1610612744,2019,129.0,88.0,217.0,109.5,112.2,109.0,116.0,49,22,27,0.449,51,12,39,0.235,14,8,7,5,209.72,213.68,211.7
2020-02-05,1610612761,1610612754,2019,119.0,118.0,237.0,113.3,105.65,110.75,109.75,50,36,14,0.72,50,31,19,0.62,18,18,18,13,216.72,203.4,210.06
2020-02-05,1610612750,1610612737,2019,120.0,127.0,247.0,110.0,113.8,111.2,118.15,49,15,34,0.306,51,13,38,0.255,6,9,8,5,220.04,214.88,217.45999999999998
2020-02-05,1610612760,1610612739,2019,109.0,103.0,212.0,113.8,108.85,108.4,117.4,50,30,20,0.6,51,13,38,0.255,15,15,6,7,220.24,216.76,218.5
